parent_id,child_id,Occupation,AI_adaptation_score
17-2051,17-2051.01,Transportation Engineers,0.4886363636363636
17-2051,17-2051.02,Water/Wastewater Engineers,0.5
17-2072,17-2072.01,Radio Frequency Identification Device Specialists,0.3809523809523809
17-2111,17-2111.02,Fire-Prevention and Protection Engineers,0.6153846153846154
17-2112,17-2112.01,Human Factors Engineers and Ergonomists,0.52
17-2112,17-2112.02,Validation Engineers,0.4761904761904761
17-2112,17-2112.03,Manufacturing Engineers,0.4787234042553191
17-2121,17-2121.00,Marine Engineers and Naval Architects,0.4035087719298245
17-2141,17-2141.01,Fuel Cell Engineers,0.4901960784313725
17-2141,17-2141.02,Automotive Engineers,0.64
17-2161,17-2161.00,Nuclear Engineers,0.475
17-2199,17-2199.03,"Energy Engineers, Except Wind and Solar",0.5
17-2199,17-2199.05,Mechatronics Engineers,0.3026315789473684
17-2199,17-2199.06,Microsystems Engineers,0.5256410256410257
17-2199,17-2199.07,Photonics Engineers,0.2888888888888889
17-2199,17-2199.08,Robotics Engineers,0.4772727272727273
17-2199,17-2199.09,Nanosystems Engineers,0.4886363636363636
17-2199,17-2199.10,Wind Energy Engineers,0.5263157894736842
17-2199,17-2199.11,Solar Energy Systems Engineers,0.46
17-3024,17-3024.01,Robotics Technicians,0.2105263157894736
17-3026,17-3026.01,Nanotechnology Engineering Technologists and Technicians,0.3617021276595744
17-3027,17-3027.01,Automotive Engineering Technicians,0.2222222222222222
17-3029,17-3029.01,Non-Destructive Testing Specialists,0.2758620689655172
17-3029,17-3029.08,Photonics Technicians,0.2444444444444444
19-1011,19-1011.00,Animal Scientists,0.84375
19-1029,19-1029.01,Bioinformatics Scientists,0.5454545454545454
19-1029,19-1029.02,Molecular and Cellular Biologists,0.4390243902439024
19-1029,19-1029.03,Geneticists,0.4767441860465116
19-1029,19-1029.04,Biologists,0.3823529411764705
19-1031,19-1031.02,Range Managers,0.4032258064516129
19-1031,19-1031.03,Park Naturalists,0.4848484848484848
19-2011,19-2011.00,Astronomers,0.421875
19-2041,19-2041.01,Climate Change Policy Analysts,0.75
19-2041,19-2041.02,Environmental Restoration Planners,0.6521739130434783
19-2041,19-2041.03,Industrial Ecologists,0.7132352941176471
19-2043,19-2043.00,Hydrologists,0.53125
19-3011,19-3011.01,Environmental Economists,0.7763157894736842
19-3032,19-3032.00,Industrial-Organizational Psychologists,0.5888888888888889
19-3039,19-3039.02,Neuropsychologists,0.2857142857142857
19-3039,19-3039.03,Clinical Neuropsychologists,0.2777777777777778
19-3041,19-3041.00,Sociologists,0.6153846153846154
19-3091,19-3091.00,Anthropologists and Archeologists,0.5172413793103449
19-3092,19-3092.00,Geographers,0.375
19-3093,19-3093.00,Historians,0.5
19-3094,19-3094.00,Political Scientists,0.5416666666666666
19-4012,19-4012.00,Agricultural Technicians,0.1666666666666666
19-4012,19-4012.01,Precision Agriculture Technicians,0.5
19-4044,19-4044.00,Hydrologic Technicians,0.53125
19-4051,19-4051.00,Nuclear Technicians,0.25
19-4051,19-4051.02,Nuclear Monitoring Technicians,0.3181818181818182
19-4099,19-4099.01,Quality Control Analysts,0.4787234042553191
19-4099,19-4099.03,Remote Sensing Technicians,0.4677419354838709
21-1013,21-1013.00,Marriage and Family Therapists,0.2777777777777778
21-1014,21-1014.00,Mental Health Counselors,0.2647058823529412
23-1012,23-1012.00,Judicial Law Clerks,0.4482758620689655
25-1043,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",0.4239130434782608
25-1113,25-1113.00,"Social Work Teachers, Postsecondary",0.5113636363636364
25-1192,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",0.65
25-2055,25-2055.00,"Special Education Teachers, Kindergarten",0.35
25-9043,25-9043.00,"Teaching Assistants, Special Education",0.25
27-1012,27-1012.00,Craft Artists,0.2241379310344827
27-1014,27-1014.00,Special Effects Artists and Animators,0.475
27-2012,27-2012.03,Media Programming Directors,0.6153846153846154
27-2012,27-2012.04,Talent Directors,0.3461538461538461
27-2012,27-2012.05,Media Technical Directors/Managers,0.3076923076923077
27-2031,27-2031.00,Dancers,0.0416666666666666
27-2032,27-2032.00,Choreographers,0.1714285714285714
27-3041,27-3041.00,Editors,0.6470588235294118
27-3043,27-3043.05,"Poets, Lyricists and Creative Writers",0.7407407407407407
29-1022,29-1022.00,Oral and Maxillofacial Surgeons,0.08
29-1023,29-1023.00,Orthodontists,0.2
29-1024,29-1024.00,Prosthodontists,0.0909090909090909
29-1071,29-1071.01,Anesthesiologist Assistants,0.0952380952380952
29-1122,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",0.2875
29-1129,29-1129.01,Art Therapists,0.3191489361702128
29-1129,29-1129.02,Music Therapists,0.5
29-1141,29-1141.01,Acute Care Nurses,0.3265306122448979
29-1141,29-1141.02,Advanced Practice Psychiatric Nurses,0.4444444444444445
29-1141,29-1141.03,Critical Care Nurses,0.1896551724137931
29-1141,29-1141.04,Clinical Nurse Specialists,0.3333333333333333
29-1161,29-1161.00,Nurse Midwives,0.2926829268292683
29-1181,29-1181.00,Audiologists,0.4545454545454546
29-1229,29-1229.01,Allergists and Immunologists,0.3666666666666667
29-1229,29-1229.02,Hospitalists,0.3571428571428571
29-1229,29-1229.03,Urologists,0.25
29-1229,29-1229.04,Physical Medicine and Rehabilitation Physicians,0.1333333333333333
29-1229,29-1229.05,Preventive Medicine Physicians,0.3666666666666666
29-1229,29-1229.06,Sports Medicine Physicians,0.4339622641509433
29-1243,29-1243.00,Pediatric Surgeons,0.2222222222222222
29-1291,29-1291.00,Acupuncturists,0.3055555555555555
29-1299,29-1299.01,Naturopathic Physicians,0.2564102564102564
29-1299,29-1299.02,Orthoptists,0.375
29-2011,29-2011.01,Cytogenetic Technologists,0.3362068965517241
29-2011,29-2011.02,Cytotechnologists,0.16
29-2011,29-2011.04,Histotechnologists,0.0625
29-2012,29-2012.00,Medical and Clinical Laboratory Technicians,0.0952380952380952
29-2012,29-2012.01,Histology Technicians,0.0
29-2099,29-2099.01,Neurodiagnostic Technologists,0.1875
29-2099,29-2099.05,Ophthalmic Medical Technologists,0.0666666666666666
29-2099,29-2099.08,Patient Representatives,0.5714285714285714
29-9092,29-9092.00,Genetic Counselors,0.631578947368421
31-1122,31-1122.00,Personal Care Aides,0.3333333333333333
31-9099,31-9099.01,Speech-Language Pathology Assistants,0.2105263157894736
31-9099,31-9099.02,Endoscopy Technicians,0.0
33-2022,33-2022.00,Forest Fire Inspectors and Prevention Specialists,0.375
33-3021,33-3021.02,Police Identification and Records Officers,0.3461538461538461
33-3021,33-3021.06,Intelligence Analysts,0.3970588235294117
33-3031,33-3031.00,Fish and Game Wardens,0.1590909090909091
33-3041,33-3041.00,Parking Enforcement Workers,0.3205128205128205
33-3051,33-3051.04,Customs and Border Protection Officers,0.2619047619047618
33-3052,33-3052.00,Transit and Railroad Police,0.4375
33-9031,33-9031.00,Gambling Surveillance Officers and Gambling Investigators,0.3125
35-2013,35-2013.00,"Cooks, Private Household",0.28
35-3023,35-3023.01,Baristas,0.1578947368421052
37-3012,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.0555555555555555
39-1013,39-1013.00,First-Line Supervisors of Gambling Services Workers,0.3365384615384615
39-3011,39-3011.00,Gambling Dealers,0.1486486486486486
39-3021,39-3021.00,Motion Picture Projectionists,0.0757575757575757
39-3092,39-3092.00,Costume Attendants,0.2361111111111111
39-4012,39-4012.00,Crematory Operators,0.125
39-5091,39-5091.00,"Makeup Artists, Theatrical and Performance",0.2439024390243902
39-5093,39-5093.00,Shampooers,0.0714285714285714
39-7012,39-7012.00,Travel Guides,0.4
39-9011,39-9011.01,Nannies,0.3513513513513513
41-2012,41-2012.00,Gambling Change Persons and Booth Cashiers,0.3095238095238095
41-4011,41-4011.07,Solar Sales Representatives and Assessors,0.576923076923077
41-9012,41-9012.00,Models,0.4
41-9021,41-9021.00,Real Estate Brokers,0.421875
43-2021,43-2021.00,Telephone Operators,0.5526315789473684
43-3041,43-3041.00,Gambling Cage Workers,0.4193548387096774
43-5011,43-5011.01,Freight Forwarders,0.5849056603773585
43-9071,43-9071.00,"Office Machine Operators, Except Computer",0.1764705882352941
43-9111,43-9111.00,Statistical Assistants,0.6739130434782609
45-2021,45-2021.00,Animal Breeders,0.0757575757575757
45-2091,45-2091.00,Agricultural Equipment Operators,0.0
45-3031,45-3031.00,Fishing and Hunting Workers,0.0087719298245614
45-4011,45-4011.00,Forest and Conservation Workers,0.0652173913043478
45-4021,45-4021.00,Fallers,0.125
45-4022,45-4022.00,Logging Equipment Operators,0.0625
45-4023,45-4023.00,Log Graders and Scalers,0.1578947368421052
47-1011,47-1011.03,Solar Energy Installation Managers,0.2666666666666666
47-2011,47-2011.00,Boilermakers,0.0
47-2022,47-2022.00,Stonemasons,0.0
47-2043,47-2043.00,Floor Sanders and Finishers,0.0
47-2053,47-2053.00,Terrazzo Workers and Finishers,0.0227272727272727
47-2072,47-2072.00,Pile Driver Operators,0.0
47-2142,47-2142.00,Paperhangers,0.0
47-2152,47-2152.04,Solar Thermal Installers and Technicians,0.073170731707317
47-4011,47-4011.01,Energy Auditors,0.4268292682926829
47-4031,47-4031.00,Fence Erectors,0.0256410256410256
47-4091,47-4091.00,Segmental Pavers,0.0833333333333333
47-4099,47-4099.03,Weatherization Installers and Technicians,0.2
47-5011,47-5011.00,"Derrick Operators, Oil and Gas",0.0
47-5041,47-5041.00,Continuous Mining Machine Operators,0.06
47-5043,47-5043.00,"Roof Bolters, Mining",0.0
47-5044,47-5044.00,"Loading and Moving Machine Operators, Underground Mining",0.0813953488372093
47-5051,47-5051.00,"Rock Splitters, Quarry",0.0769230769230769
49-2093,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.16
49-3022,49-3022.00,Automotive Glass Installers and Repairers,0.0
49-9045,49-9045.00,"Refractory Materials Repairers, Except Brickmasons",0.0
49-9061,49-9061.00,Camera and Photographic Equipment Repairers,0.04
49-9064,49-9064.00,Watch and Clock Repairers,0.1666666666666666
49-9092,49-9092.00,Commercial Divers,0.0888888888888888
49-9095,49-9095.00,Manufactured Building and Mobile Home Installers,0.1153846153846153
49-9097,49-9097.00,Signal and Track Switch Repairers,0.0384615384615384
51-2023,51-2023.00,Electromechanical Equipment Assemblers,0.0
51-2031,51-2031.00,Engine and Other Machine Assemblers,0.0
51-2061,51-2061.00,Timing Device Assemblers and Adjusters,0.0
51-4032,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.0
51-4062,51-4062.00,"Patternmakers, Metal and Plastic",0.1304347826086956
51-4192,51-4192.00,"Layout Workers, Metal and Plastic",0.1521739130434782
51-4194,51-4194.00,"Tool Grinders, Filers, and Sharpeners",0.0
51-6042,51-6042.00,Shoe Machine Operators and Tenders,0.0217391304347826
51-6051,51-6051.00,"Sewers, Hand",0.0416666666666666
51-6061,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,0.1184210526315789
51-6063,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.125
51-6064,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.0714285714285714
51-6092,51-6092.00,Fabric and Apparel Patternmakers,0.1875
51-7031,51-7031.00,"Model Makers, Wood",0.1538461538461538
51-7032,51-7032.00,"Patternmakers, Wood",0.282051282051282
51-8011,51-8011.00,Nuclear Power Reactor Operators,0.1212121212121212
51-8012,51-8012.00,Power Distributors and Dispatchers,0.2499999999999999
51-8013,51-8013.03,Biomass Plant Technicians,0.088235294117647
51-8013,51-8013.04,Hydroelectric Plant Technicians,0.075
51-8091,51-8091.00,Chemical Plant and System Operators,0.1515151515151515
51-9071,51-9071.06,Gem and Diamond Workers,0.1428571428571428
51-9082,51-9082.00,Medical Appliance Technicians,0.1034482758620689
51-9195,51-9195.03,"Stone Cutters and Carvers, Manufacturing",0.0434782608695652
51-9195,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",0.1136363636363636
51-9195,51-9195.05,"Potters, Manufacturing",0.0119047619047619
51-9197,51-9197.00,Tire Builders,0.0
53-1042,53-1042.01,Recycling Coordinators,0.4655172413793103
53-1043,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.3076923076923077
53-1044,53-1044.00,First-Line Supervisors of Passenger Attendants,0.3157894736842105
53-2022,53-2022.00,Airfield Operations Specialists,0.3292682926829268
53-3054,53-3054.00,Taxi Drivers,0.25
53-4013,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",0.0568181818181818
53-4022,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",0.0416666666666666
53-4041,53-4041.00,Subway and Streetcar Operators,0.2045454545454545
53-5011,53-5011.00,Sailors and Marine Oilers,0.0106382978723404
53-5021,53-5021.00,"Captains, Mates, and Pilots of Water Vessels",0.209090909090909
53-5022,53-5022.00,Motorboat Operators,0.1290322580645161
53-5031,53-5031.00,Ship Engineers,0.140625
53-6011,53-6011.00,Bridge and Lock Tenders,0.1607142857142857
53-6051,53-6051.01,Aviation Inspectors,0.26
53-6051,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",0.125
53-6061,53-6061.00,Passenger Attendants,0.1388888888888889
53-7031,53-7031.00,Dredge Operators,0.0
53-7062,53-7062.04,Recycling and Reclamation Workers,0.0217391304347826
